Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783172628,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783172629,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783172630,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783172631,8,,Aggregated,0.000000,0.000000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2,0,2477.74770000251,2468.2185999990907,2458.689499995671,2477.74770000251,75.0
1783172632,10,,Aggregated,0.000000,0.000000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,3,0,2477.74770000251,2458.613166663175,2439.402299991343,2477.74770000251,80.0
1783172633,10,,Aggregated,0.000000,0.000000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,3,0,2477.74770000251,2458.613166663175,2439.402299991343,2477.74770000251,80.0
1783172634,10,,Aggregated,0.500000,0.000000,2500,2500,4700,4700,4700,4700,4700,4700,4700,4700,4700,4,0,2500,3020.181899999443,2439.402299991343,4704.888100008247,79.0
1783172635,10,,Aggregated,0.600000,0.000000,4700,4700,4900,4900,4900,4900,4900,4900,4900,4900,4900,6,0,2500,3646.714333333269,2439.402299991343,4938.602299997001,78.0
1783172636,10,,Aggregated,0.500000,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,9,0,4400,3868.4077222230067,2439.402299991343,4938.602299997001,78.88888888888889
1783172637,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172639,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172640,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172641,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172642,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172643,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172644,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172645,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172646,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172647,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172648,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172649,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172650,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172651,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172652,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172653,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172654,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
1783172655,10,,Aggregated,0.571429,0.000000,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6
