Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,send_message,4,0,32000,42277.15307499966,26858.21880000003,66844.24859999854,342.75,0.05513957524438806,0.0,43000,43000,67000,67000,67000,67000,67000,67000,67000,67000,67000
POST,start_session,10,0,4100,3892.6135200003046,2439.402299991343,4938.602299997001,78.6,0.13784893811097015,0.0,4400,4500,4700,4900,4900,4900,4900,4900,4900,4900,4900
,Aggregated,14,0,4500,14859.624821428692,2439.402299991343,66844.24859999854,154.07142857142858,0.19298851335535822,0.0,4700,4900,27000,32000,43000,67000,67000,67000,67000,67000,67000
